Id,MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,SalePrice
0,60,RL,8450,Inside,1Fam,5,2003,2003,VinylSd,0,856,208500
1,20,RL,9600,FR2,1Fam,8,1976,1976,MetalSd,0,1262,181500
2,60,RL,11250,Inside,1Fam,5,2001,2002,VinylSd,0,920,223500
3,70,RL,9550,Corner,1Fam,5,1915,1970,Wd Sdng,0,756,140000
4,60,RL,14260,FR2,1Fam,5,2000,2000,VinylSd,0,1145,250000
5,50,RL,14115,Inside,1Fam,5,1993,1995,VinylSd,0,796,143000
6,20,RL,10084,Inside,1Fam,5,2004,2005,VinylSd,0,1686,307000
7,60,RL,10382,Corner,1Fam,6,1973,1973,HdBoard,32,1107,200000
8,50,RM,6120,Inside,1Fam,5,1931,1950,BrkFace,0,952,129900
9,190,RL,7420,Corner,2fmCon,6,1939,1950,MetalSd,0,991,118000
10,20,RL,11200,Inside,1Fam,5,1965,1965,HdBoard,0,1040,129500
11,60,RL,11924,Inside,1Fam,5,2005,2006,WdShing,0,1175,345000
12,20,RL,12968,Inside,1Fam,6,1962,1962,HdBoard,0,912,144000
13,20,RL,10652,Inside,1Fam,5,2006,2007,VinylSd,0,1494,279500
14,20,RL,10920,Corner,1Fam,5,1960,1960,MetalSd,0,1253,157000
15,45,RM,6120,Corner,1Fam,8,1929,2001,Wd Sdng,0,832,132000
16,20,RL,11241,CulDSac,1Fam,7,1970,1970,Wd Sdng,0,1004,149000
17,90,RL,10791,Inside,Duplex,5,1967,1967,MetalSd,0,0,90000
18,20,RL,13695,Inside,1Fam,5,2004,2004,VinylSd,0,1114,159000
19,20,RL,7560,Inside,1Fam,6,1958,1965,BrkFace,0,1029,139000
20,60,RL,14215,Corner,1Fam,5,2005,2006,VinylSd,0,1158,325300
21,45,RM,7449,Inside,1Fam,7,1930,1950,Wd Sdng,0,637,139400
22,20,RL,9742,Inside,1Fam,5,2002,2002,VinylSd,0,1777,230000
23,120,RM,4224,Inside,TwnhsE,7,1976,1976,CemntBd,0,1040,129900
24,20,RL,8246,Inside,1Fam,8,1968,2001,Plywood,668,1060,154000
25,20,RL,14230,Corner,1Fam,5,2007,2007,VinylSd,0,1566,256300
26,20,RL,7200,Corner,1Fam,7,1951,2000,Wd Sdng,486,900,134800
27,20,RL,11478,Inside,1Fam,5,2007,2008,VinylSd,0,1704,306000
28,20,RL,16321,CulDSac,1Fam,6,1957,1997,MetalSd,0,1484,207500
29,30,RM,6324,Inside,1Fam,6,1927,1950,MetalSd,0,520,68500
30,70,C (all),8500,Inside,1Fam,4,1920,1950,BrkFace,0,649,40000
31,20,RL,8544,CulDSac,1Fam,6,1966,2006,HdBoard,0,1228,149350
32,20,RL,11049,Corner,1Fam,5,2007,2007,VinylSd,0,1234,179900
33,20,RL,10552,Inside,1Fam,5,1959,1959,BrkFace,0,1398,165500
34,120,RL,7313,Inside,TwnhsE,5,2005,2005,MetalSd,0,1561,277500
35,60,RL,13418,Inside,1Fam,5,2004,2005,VinylSd,0,1117,309000
36,20,RL,10859,Corner,1Fam,5,1994,1995,VinylSd,0,1097,145000
37,20,RL,8532,Inside,1Fam,6,1954,1990,Wd Sdng,0,1297,153000
38,20,RL,7922,Inside,1Fam,7,1953,2007,VinylSd,0,1057,109000
39,90,RL,6040,Inside,Duplex,5,1955,1955,AsbShng,0,0,82000
40,20,RL,8658,Inside,1Fam,5,1965,1965,Wd Sdng,0,1088,160000
41,20,RL,16905,Inside,1Fam,6,1959,1959,VinylSd,0,1350,170000
42,85,RL,9180,CulDSac,1Fam,7,1983,1983,HdBoard,93,840,144000
43,20,RL,9200,CulDSac,1Fam,6,1975,1980,VinylSd,491,938,130250
44,20,RL,7945,Inside,1Fam,6,1959,1959,BrkFace,506,1150,141000
